candidate_id,lattice_type,a,r_over_a,eps_bg,band_index,k_label,k0_x,k0_y,omega0,curvature_xx,curvature_xy,curvature_yy,curvature_trace,curvature_det,vg_x,vg_y,vg_norm,k_parab,gap_above,gap_below,gap_min,S_flat,S_gap,S_parab,S_vg,S_contrast,S_total,valid_ea_flag,optimization_k_label,optimization_strategy,optimization_lattice,candidate_source
2050,square,1.0,0.3971716648351685,11.985107289786708,0,X,0.5,0.0,0.179038594685871,0.9902082824906816,0.0,0.9902082824906816,1.980416564981364,0.9805124427131456,0.029160362793355,0.0291603627933551,0.0412389805460826,0.1421188617553775,0.1046522879867104,0.1,0.1,1.0,0.5,0.0947459078369183,0.9983022337955856,0.9986461172533372,0.863719750487101,False,X,differential_evolution,square,optimizer
2048,square,1.0,0.3971716648351685,11.985107289786708,0,X,0.5,0.0,0.179038594685871,0.9902082824906816,0.0,0.9902082824906816,1.9804165649813636,0.9805124427131456,0.029160362793355,0.0291603627933551,0.0412389805460826,0.1421188617553775,0.1046522879867104,0.1,0.1,1.0,0.5,0.0947459078369183,0.9983022337955856,0.9986461172533372,0.863719750487101,False,X,differential_evolution,square,optimizer
2051,hex,1.0,0.3312430234772702,11.979919709309236,0,M,0.5,0.0,0.1923955252552728,3.332178463033714,0.0,3.332178463033714,6.664356926067428,11.103413309505724,0.0235099922233303,0.0235099922233304,0.0332481498535198,0.0774730887921777,0.1144123656709645,0.1,0.1,1.0,0.5,0.0516487258614518,0.9988957811783854,0.9981745190281124,0.8573799801252199,False,M,differential_evolution,hex,optimizer
2049,hex,1.0,0.3312430234772702,11.979919709309236,0,M,0.5,0.0,0.1923955252552728,3.332178463033714,0.0,3.332178463033714,6.664356926067428,11.103413309505724,0.0235099922233303,0.0235099922233304,0.0332481498535198,0.0774730887921777,0.1144123656709645,0.1,0.1,1.0,0.5,0.0516487258614518,0.9988957811783854,0.9981745190281124,0.8573799801252199,False,M,differential_evolution,hex,optimizer
2017,hex,1.0,0.35,9.0,1,Γ,0.0,0.0,0.46707624651336105,0.7373122175352042,0.0,0.7373122175352042,1.4746244350704083,0.5436293061266803,-0.004049454453438631,0.008098908906877256,0.00905485542967803,0.16469836302597962,0.08471094916828564,0.46707624651336105,0.08471094916828564,1.0,0.4586135773202462,0.10979890868398641,0.9999180163150234,0.7272727272727273,0.8445356922090395,False,,,,grid
2041,hex,1.0,0.35,9.0,1,Γ,0.0,0.0,0.46707624651336105,0.7373122175352042,0.0,0.7373122175352042,1.4746244350704083,0.5436293061266803,-0.004049454453438631,0.008098908906877256,0.00905485542967803,0.16469836302597962,0.08471094916828564,0.46707624651336105,0.08471094916828564,1.0,0.4586135773202462,0.10979890868398641,0.9999180163150234,0.7272727272727273,0.8445356922090395,False,,,,grid
1961,hex,1.0,0.35,7.0,1,M,0.5,0.0,0.3907722876308683,5.167394706098996,0.0,5.167394706098996,10.334789412197992,26.70196804861993,-0.026083064259104782,-0.026083064259104876,0.03688702322347499,0.0622127186144504,0.12247253953626341,0.13472273520475325,0.12247253953626341,1.0,0.5505063222254456,0.041475145742966936,0.9986411963772331,0.5454545454545454,0.8432555626735697,False,,,,grid
2024,hex,1.0,0.35,9.0,0,M,0.5,0.0,0.22769284490980685,4.022045887148592,0.0,4.022045887148592,8.044091774297184,16.176853118328907,0.028083331692513314,0.028083331692513414,0.039715828556174566,0.07051661995705473,0.13503540566864192,0.1,0.1,1.0,0.5,0.04701107997136982,0.9984251370674783,0.7272727272727273,0.8430215826262115,False,,,,grid
1993,hex,1.0,0.35,8.0,1,M,0.5,0.0,0.3760224405501489,4.58047660069061,0.0,4.58047660069061,9.16095320138122,20.980765889474206,-0.023109185071674698,-0.02310918507167478,0.03268132294375228,0.06607842203215565,0.10867313042107529,0.13539884071826871,0.10867313042107529,1.0,0.5207816176514294,0.044052281354770434,0.9989330706846337,0.6363636363636364,0.8423156152228417,False,,,,grid
1929,hex,1.0,0.35,6.0,1,M,0.5,0.0,0.4072803163754388,5.964903339861277,0.0,5.964903339861277,11.929806679722555,35.58007185388822,-0.03014620775775911,-0.03014620775775922,0.042633175865140024,0.057904630231273034,0.14020642666443262,0.13238468984844798,0.13238468984844798,1.0,0.5696790521560778,0.03860308682084869,0.9981857099469083,0.45454545454545453,0.8419999736683427,False,,,,grid
2025,hex,1.0,0.35,9.0,1,M,0.5,0.0,0.36272825057844876,4.12800843333017,0.0,4.12800843333017,8.25601686666034,17.040453625645007,-0.02082682571394323,-0.020826825713943307,0.029453579385839288,0.069605684698008,0.09769201674147443,0.13503540566864192,0.09769201674147443,1.0,0.49416267966565447,0.046403789798672,0.9991332385884479,0.7272727272727273,0.84194005041368,False,,,,grid
1000,square,1.0,0.35,9.0,0,X,0.5,0.0,0.18829427523499226,1.44838024845844,0.0,1.44838024845844,2.89676049691688,2.0978053441245326,0.03428495255724028,0.03428495255724033,0.048486244891767366,0.11750969552190009,0.08909060526921359,0.1,0.08909060526921359,1.0,0.4711529964292662,0.07833979701460006,0.997654597899488,0.7272727272727273,0.8417588546765516,False,,,,grid
1769,hex,1.0,0.3,9.0,1,M,0.5,0.0,0.30729550023779467,4.542389305822058,0.0,4.542389305822058,9.084778611644117,20.6333006056466,-0.0232090206168023,-0.023209020616802384,0.03282251172567865,0.06635487287472919,0.09738207635358437,0.09572865802300598,0.09572865802300598,1.0,0.48908861374686385,0.04423658191648613,0.9989238420875284,0.7272727272727273,0.8405478069223642,False,,,,grid
