candidate_id,lattice_type,theta_deg,a,r_over_a,eps_bg,band_index,k_label,k0_x,k0_y,omega0,curvature_xx,curvature_xy,curvature_yy,curvature_trace,curvature_det,vg_x,vg_y,vg_norm,k_parab,gap_above,gap_below,gap_min,G_magnitude,moire_length,S_flat,S_gap,S_parab,S_vg,S_contrast,S_total,valid_ea_flag
345,hex,1.0,1.0,0.35,6.0,1,M,0.5,0.0,0.40728031909817847,0.0029253368321790485,0.0,0.0029253368321790485,0.005850673664358097,8.55759558170335e-06,-0.00035527259581106976,-0.00035527259581106976,0.0005024361417212131,2.61473125478735,0.14020642398138178,0.13238469085584248,0.13238469085584248,0.0633127381556719,57.296506740065155,0.9941833576120758,0.5696790540215318,1.0,0.999497816173583,0.45454545454545453,0.8630358838229197,True
441,hex,1.75,1.0,0.35,6.0,1,M,0.5,0.0,0.40728031909817847,0.0029253368321790485,0.0,0.0029253368321790485,0.005850673664358097,8.55759558170335e-06,-0.00035527259581106976,-0.00035527259581106976,0.0005024361417212131,2.61473125478735,0.14020642398138178,0.13238469085584248,0.13238469085584248,0.11079439132238093,32.74171810658836,0.9941833576120758,0.5696790540215318,1.0,0.999497816173583,0.45454545454545453,0.8630358838229197,True
537,hex,2.5,1.0,0.35,6.0,1,M,0.5,0.0,0.40728031909817847,0.0029253368321790485,0.0,0.0029253368321790485,0.005850673664358097,8.55759558170335e-06,-0.00035527259581106976,-0.00035527259581106976,0.0005024361417212131,2.61473125478735,0.14020642398138178,0.13238469085584248,0.13238469085584248,0.15827129842611806,22.920129957497124,0.9941833576120758,0.5696790540215318,1.0,0.999497816173583,0.45454545454545453,0.8630358838229197,True
464,hex,1.75,1.0,0.35,9.0,0,M,0.5,0.0,0.22769282198534097,0.0020102061169312013,0.0,0.0020102061169312013,0.004020412233862403,4.040928632547619e-06,0.00033096926322894214,0.00033096926322894214,0.0004680657095586793,3.1542397666078097,0.13503542052643258,0.1,0.1,0.11079439132238093,32.74171810658836,0.9959956867560917,0.5,1.0,0.9995321532734515,0.7272727272727273,0.8598919497192863,True
368,hex,1.0,1.0,0.35,9.0,0,M,0.5,0.0,0.22769282198534097,0.0020102061169312013,0.0,0.0020102061169312013,0.004020412233862403,4.040928632547619e-06,0.00033096926322894214,0.00033096926322894214,0.0004680657095586793,3.1542397666078097,0.13503542052643258,0.1,0.1,0.0633127381556719,57.296506740065155,0.9959956867560917,0.5,1.0,0.9995321532734515,0.7272727272727273,0.8598919497192863,True
560,hex,2.5,1.0,0.35,9.0,0,M,0.5,0.0,0.22769282198534097,0.0020102061169312013,0.0,0.0020102061169312013,0.004020412233862403,4.040928632547619e-06,0.00033096926322894214,0.00033096926322894214,0.0004680657095586793,3.1542397666078097,0.13503542052643258,0.1,0.1,0.15827129842611806,22.920129957497124,0.9959956867560917,0.5,1.0,0.9995321532734515,0.7272727272727273,0.8598919497192863,True
369,hex,1.0,1.0,0.35,9.0,1,M,0.5,0.0,0.36272824251177355,0.0020243164331622543,0.0,0.0020243164331622543,0.004048632866324509,4.097857021570751e-06,-0.0002454418699312803,-0.0002454418699312803,0.0003471105500371663,3.1432273700506337,0.09769202028177681,0.13503542052643258,0.09769202028177681,0.0633127381556719,57.296506740065155,0.9959676924664829,0.4941626887242754,1.0,0.9996530098938894,0.7272727272727273,0.8584409523920575,True
561,hex,2.5,1.0,0.35,9.0,1,M,0.5,0.0,0.36272824251177355,0.0020243164331622543,0.0,0.0020243164331622543,0.004048632866324509,4.097857021570751e-06,-0.0002454418699312803,-0.0002454418699312803,0.0003471105500371663,3.1432273700506337,0.09769202028177681,0.13503542052643258,0.09769202028177681,0.15827129842611806,22.920129957497124,0.9959676924664829,0.4941626887242754,1.0,0.9996530098938894,0.7272727272727273,0.8584409523920575,True
465,hex,1.75,1.0,0.35,9.0,1,M,0.5,0.0,0.36272824251177355,0.0020243164331622543,0.0,0.0020243164331622543,0.004048632866324509,4.097857021570751e-06,-0.0002454418699312803,-0.0002454418699312803,0.0003471105500371663,3.1432273700506337,0.09769202028177681,0.13503542052643258,0.09769202028177681,0.11079439132238093,32.74171810658836,0.9959676924664829,0.4941626887242754,1.0,0.9996530098938894,0.7272727272727273,0.8584409523920575,True
272,square,2.5,1.0,0.35,9.0,0,X,0.5,0.0,0.18829427634692378,0.0009052320458452778,0.0,0.0009052320458452778,0.0018104640916905557,8.194450568252272e-07,0.0006060745637990923,0.0006060745637990923,0.0008571270878222209,4.70040238427364,0.08909060415945977,0.1,0.08909060415945977,0.27415567780803773,22.920129957497124,0.9981928077649578,0.47115299332551613,1.0,0.9991436069498589,0.7272727272727273,0.8533909084552295,True
