candidate_id,lattice_type,a,r_over_a,eps_bg,band_index,k_label,k0_x,k0_y,omega0,curvature_xx,curvature_xy,curvature_yy,curvature_trace,curvature_det,vg_x,vg_y,vg_norm,k_parab,gap_above,gap_below,gap_min,S_flat,S_gap,S_parab,S_vg,S_contrast,S_total,valid_ea_flag
3527,hex,1.0,0.48,8.0,7,Γ,0.0,0.0,1.3246616751558002,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.18687358354457007,0.30124016717146906,0.18687358354457007,1.0,0.6514144008506677,0.09428090415820634,1.0,0.6363636363636364,0.8762431976120463,False
3551,hex,1.0,0.48,8.0,7,Γ,0.0,0.0,1.3246616751558002,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.18687358354457007,0.30124016717146906,0.18687358354457007,1.0,0.6514144008506677,0.09428090415820634,1.0,0.6363636363636364,0.8762431976120463,False
3559,hex,1.0,0.48,9.0,7,Γ,0.0,0.0,1.297548722210741,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.16925166630804322,0.3035252368625436,0.16925166630804322,1.0,0.6286002557711461,0.09428090415820634,1.0,0.7272727272727273,0.8762258231415965,False
3583,hex,1.0,0.48,9.0,7,Γ,0.0,0.0,1.297548722210741,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.16925166630804322,0.3035252368625436,0.16925166630804322,1.0,0.6286002557711461,0.09428090415820634,1.0,0.7272727272727273,0.8762258231415965,False
3495,hex,1.0,0.48,7.0,7,Γ,0.0,0.0,1.3613949066993363,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.2037728436286197,0.3098430772062244,0.2037728436286197,1.0,0.6708066501090667,0.09428090415820634,1.0,0.5454545454545454,0.8755761929182715,False
3519,hex,1.0,0.48,7.0,7,Γ,0.0,0.0,1.3613949066993363,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.2037728436286197,0.3098430772062244,0.2037728436286197,1.0,0.6708066501090667,0.09428090415820634,1.0,0.5454545454545454,0.8755761929182715,False
3487,hex,1.0,0.48,6.0,7,Γ,0.0,0.0,1.4112160746733198,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.20397487959218763,0.334097768759098,0.20397487959218763,1.0,0.6710254474509213,0.09428090415820634,1.0,0.45454545454545453,0.8710744978411878,False
3463,hex,1.0,0.48,6.0,7,Γ,0.0,0.0,1.4112160746733198,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.20397487959218763,0.334097768759098,0.20397487959218763,1.0,0.6710254474509213,0.09428090415820634,1.0,0.45454545454545453,0.8710744978411878,False
3455,hex,1.0,0.48,5.0,7,Γ,0.0,0.0,1.4778921135404939,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.1860051049920075,0.37871066145722887,0.1860051049920075,1.0,0.6503558913649653,0.09428090415820634,1.0,0.36363636363636365,0.8623951320785421,False
3431,hex,1.0,0.48,5.0,7,Γ,0.0,0.0,1.4778921135404939,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.1860051049920075,0.37871066145722887,0.1860051049920075,1.0,0.6503558913649653,0.09428090415820634,1.0,0.36363636363636365,0.8623951320785421,False
1761,square,1.0,0.48,9.0,1,Γ,0.0,0.0,0.5191090705179056,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.12470797356456476,0.5191090705179056,0.12470797356456476,1.0,0.5549779635600369,0.09428090415820634,1.0,0.7272727272727273,0.8615013646993747,False
1785,square,1.0,0.48,9.0,1,Γ,0.0,0.0,0.5191090705179056,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.12470797356456476,0.5191090705179056,0.12470797356456476,1.0,0.5549779635600369,0.09428090415820634,1.0,0.7272727272727273,0.8615013646993747,False
1505,square,1.0,0.45,9.0,1,Γ,0.0,0.0,0.47359331796417,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.11380240392984226,0.47359331796417,0.11380240392984226,1.0,0.5322784114587679,0.09428090415820634,1.0,0.7272727272727273,0.8569614542791208,False
1529,square,1.0,0.45,9.0,1,Γ,0.0,0.0,0.47359331796417,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.11380240392984226,0.47359331796417,0.11380240392984226,1.0,0.5322784114587679,0.09428090415820634,1.0,0.7272727272727273,0.8569614542791208,False
1729,square,1.0,0.48,8.0,1,Γ,0.0,0.0,0.5467193345547848,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.11693748213686572,0.5467193345547848,0.11693748213686572,1.0,0.5390377033282332,0.09428090415820634,1.0,0.6363636363636364,0.8537678581075594,False
1753,square,1.0,0.48,8.0,1,Γ,0.0,0.0,0.5467193345547848,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.11693748213686572,0.5467193345547848,0.11693748213686572,1.0,0.5390377033282332,0.09428090415820634,1.0,0.6363636363636364,0.8537678581075594,False
3041,hex,1.0,0.4,9.0,1,Γ,0.0,0.0,0.5563999857491396,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.10053547069782298,0.5563999857491396,0.10053547069782298,1.0,0.5013351022040132,0.09428090415820634,1.0,0.7272727272727273,0.8507727924281699,False
3065,hex,1.0,0.4,9.0,1,Γ,0.0,0.0,0.5563999857491396,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.10053547069782298,0.5563999857491396,0.10053547069782298,1.0,0.5013351022040132,0.09428090415820634,1.0,0.7272727272727273,0.8507727924281699,False
1660,square,1.0,0.48,5.0,4,Γ,0.0,0.0,0.8836894452032538,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.16414177068186886,0.14510144475334097,0.14510144475334097,1.0,0.5920056689154343,0.09428090415820634,1.0,0.36363636363636365,0.850725087588636,False
1636,square,1.0,0.48,5.0,4,Γ,0.0,0.0,0.8836894452032538,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.16414177068186886,0.14510144475334097,0.14510144475334097,1.0,0.5920056689154343,0.09428090415820634,1.0,0.36363636363636365,0.850725087588636,False
2040,hex,1.0,0.2,9.0,0,Γ,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.1414213562373095,0.38937812639677233,0.1,0.1,1.0,0.5,0.09428090415820634,1.0,0.7272727272727273,0.8505057719873673,False
