candidate_id,lattice_type,a,r_over_a,eps_bg,band_index,k_label,k0_x,k0_y,omega0,curvature_xx,curvature_xy,curvature_yy,curvature_trace,curvature_det,vg_x,vg_y,vg_norm,k_parab,k_parab_far,parab_error_near,parab_error_far,gap_above,gap_below,gap_min,S_flat,S_gap,S_parab,S_vg,S_linear,S_sym,S_total,valid_ea_flag,candidate_source
1133,hex,1.0,0.2,5.0,5,M,0.5,0.0,0.7332694992518018,7.016537874181153,0.0,7.016537874181153,14.033075748362306,49.231803739818574,-0.11571154561906603,-0.11571154561906646,0.16364083713763658,0.053389218147714565,0.053389218147714565,0.8818760630460181,1.1480594983856947,0.0076243609455456385,0.022087183007571287,0.0076243609455456385,1.0,0.05974063955390756,0.8851940501614305,0.10605951860504098,0.19289702762529853,0.4313988266189096,1.614329775665291,False,grid
846,square,1.0,0.35,4.0,6,X,0.5,0.0,0.8780422219257592,12.268394103191428,0.0,12.268394103191428,24.536788206382855,150.51349387122218,0.15597700413393809,0.1559770041339383,0.2205847946645397,0.04037579982110126,0.049999999999999996,1.0170980998620744,0.6272817174987824,0.010289522013003038,0.10506644362122841,0.010289522013003038,1.0,0.07897428629737496,0.8982901900137925,0.09999999999999999,0.1162417903722602,0.491524025821586,1.6140101482240787,False,grid
1202,hex,1.0,0.2,7.0,2,K,0.3333333333333333,0.3333333333333333,0.40510364011744704,0.694645431925437,0.0,0.694645431925437,1.389290863850874,0.482532276094877,-0.1456298717943237,0.0,0.1456298717943237,0.1696810745455265,0.1696810745455265,12.170449650134472,9.69979814070313,0.0384101213377076,0.07930486480243709,0.0384101213377076,1.0,0.24247264640257896,0.8,0.27382000437881765,0.23181636457868304,0.006706015568233829,1.6120336135793099,False,grid
618,square,1.0,0.3,5.0,2,X,0.5,0.0,0.5646414118283977,11.38688161802613,0.0,11.38688161802613,22.77376323605226,129.6610729829414,-0.1370119628404831,-0.13701196284048328,0.19376417605636984,0.04190951114631267,0.049999999999999996,0.962595150711568,0.5373142332366629,0.004766614163579486,0.2563287829438732,0.004766614163579486,1.0,0.03820424394405746,0.9037404849288432,0.09999999999999999,0.14563806290915063,0.5190519513149693,1.6116495076727446,False,grid
654,square,1.0,0.3,6.0,6,X,0.5,0.0,0.6946415693650086,10.79813014882964,0.0,10.79813014882964,21.59626029765928,116.59961471106364,0.13580743586718347,0.13580743586718363,0.1920607176744853,0.0430368740334492,0.049999999999999996,1.0061552064689891,0.587230824266574,0.006095089594062686,0.040447583585525804,0.006095089594062686,1.0,0.048337247815791864,0.8993844793531011,0.09999999999999999,0.14784930338473404,0.4969318682288514,1.6093325519513644,False,grid
1834,hex,1.0,0.35,3.0,2,M,0.5,0.0,0.7149732352274254,11.569855973070366,0.0,11.569855973070366,23.139711946140732,133.86156723759203,-0.15486602809127614,-0.1548660280912767,0.21901363727753584,0.0415767962775023,0.04363389981249824,1.2559167154315956,0.9086980568176668,0.019691230623099854,0.240895061076073,0.019691230623099854,1.0,0.1409625395614751,0.8744083284568405,0.0883932400693553,0.11771852670721618,0.38799891481088344,1.6064543455997782,False,grid
18,square,1.0,0.2,2.0,2,M,0.5,0.5,0.5368977364914986,6.47188283937941,0.0,6.47188283937941,12.94376567875882,41.885267486653696,0.15482870405794089,3.4378878423600047e-16,0.15482870405794089,0.05559038406442949,0.06035533905932736,1.030206100654964,0.8022630873032051,1.0185899298464918e-06,0.029739985876455766,1.0185899298464918e-06,1.0,8.48817736562087e-06,0.8969793899345035,0.11826140424154791,0.21072090267806742,0.4851249508363796,1.6046932465944521,False,grid
715,square,1.0,0.3,8.0,3,X,0.5,0.0,0.46361632828278654,4.351380950020812,0.0,4.351380950020812,8.702761900041624,18.934516172204024,0.08797822925094899,0.08797822925094911,0.12442000500026149,0.06779559002963147,0.06779559002963147,1.6174769391409547,1.1718555004011946,0.022785451070011564,0.009511520257963035,0.009511520257963035,1.0,0.07344149955940478,0.8382523060859045,0.13093118468960266,0.2925000566285804,0.2765309574049397,1.6037437216411914,False,grid
533,square,1.0,0.3,2.0,5,M,0.5,0.5,1.1638601284763193,6.390810910137927,0.0,6.390810910137927,12.781621820275854,40.842464089137955,0.25557917051066226,5.674997594310716e-16,0.25557917051066226,0.05594187440334907,0.06035533905932736,0.7775817166053316,0.6002238300590494,1.4442379350221302e-06,0.02355356118303753,1.4442379350221302e-06,1.0,1.2035171278093466e-05,0.9222418283394669,0.11826140424154791,0.08923503108003897,0.623195333038153,1.6017187776126305,False,grid
822,square,1.0,0.35,3.0,6,M,0.5,0.5,1.0087847417604578,4.470722411705137,0.0,4.470722411705137,8.941444823410274,19.987358882522596,-0.19729431454201124,-4.380813812643571e-16,0.19729431454201124,0.06688460170491463,0.06688460170491463,0.8946399424300504,0.692751101624905,0.03610383044510734,5.763845780881738e-06,5.763845780881738e-06,1.0,4.8029741207171036e-05,0.9105360057569949,0.12939948585099953,0.1412022818962772,0.5554381030489942,1.6013085427002434,False,grid
