lattice_type,a1x,a1y,a2x,a2y,hole_radius_a,eps_bg,polarization,band_index,k_index,k_label,s_value,frequency,extremum_type,curvature_a,linear_b,quad_residual,gap_below,gap_above,kx_frac,ky_frac,mode,plot_file
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.17250000,16.00000000,TM,7,0,Γ,0.00000000,0.40082788,max,-0.74935735,-0.02812374,1.12220803e-08,0.05125035,0.00000000,,,path,bands_r0.172_eps16.00.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.17250000,16.00000000,TM,7,57,Γ,1.70710678,0.40082782,max,-0.74935001,0.02812335,1.12167600e-08,0.05125029,0.00000000,,,path,bands_r0.172_eps16.00.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,2.00000000,TM,4,0,Γ,0.00000000,0.80043444,min,3.55783040,0.07820388,9.48729652e-08,0.04342641,0.18452027,,,path,bands_r0.265_eps2.00.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,2.00000000,TM,4,19,b1/2,0.50000000,0.90887153,max,-1.53523706,0.07532949,1.72794146e-06,0.12302100,0.02032241,,,path,bands_r0.265_eps2.00.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,2.00000000,TM,4,38,b2/2,1.20710678,0.90887191,max,-1.53525727,-0.07533035,1.72804852e-06,0.12302136,0.02032155,,,path,bands_r0.265_eps2.00.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,2.00000000,TM,4,57,Γ,1.70710678,0.80043444,min,3.55783232,-0.07820414,9.48735477e-08,0.04342641,0.18452027,,,path,bands_r0.265_eps2.00.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,5.50000000,TM,4,0,Γ,0.00000000,0.50545623,min,1.60663005,0.01859983,6.61589036e-09,0.03627946,0.11268785,,,path,bands_r0.265_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,5.50000000,TM,4,19,b1/2,0.50000000,0.56739715,max,-0.38634607,0.01256496,4.77407227e-08,0.08311680,0.03241958,,,path,bands_r0.265_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,5.50000000,TM,4,38,b2/2,1.20710678,0.56739756,max,-0.38635904,-0.01256531,4.77444852e-08,0.08311718,0.03241858,,,path,bands_r0.265_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,5.50000000,TM,4,57,Γ,1.70710678,0.50545623,min,1.60663121,-0.01860002,6.61592297e-09,0.03627946,0.11268785,,,path,bands_r0.265_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,5.50000000,TM,5,0,Γ,0.00000000,0.61814409,max,-0.99548539,-0.03173168,1.48757725e-08,0.11268785,0.02404442,,,path,bands_r0.265_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,5.50000000,TM,5,19,b1/2,0.50000000,0.59981673,min,0.67828762,-0.02238176,1.52110722e-07,0.03241958,0.09062669,,,path,bands_r0.265_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,5.50000000,TM,5,38,b2/2,1.20710678,0.59981614,min,0.67830302,0.02238209,1.52114253e-07,0.03241858,0.09062715,,,path,bands_r0.265_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,5.50000000,TM,5,57,Γ,1.70710678,0.61814409,max,-0.99548206,0.03173133,1.48757568e-08,0.11268785,0.02404442,,,path,bands_r0.265_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,5.50000000,TM,6,0,Γ,0.00000000,0.64218851,min,0.81975167,0.03437526,1.81147104e-08,0.02404442,0.08661262,,,path,bands_r0.265_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,5.50000000,TM,6,57,Γ,1.70710678,0.64218851,min,0.81974101,-0.03437479,1.81147048e-08,0.02404442,0.08661261,,,path,bands_r0.265_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,5.50000000,TM,7,0,Γ,0.00000000,0.72880112,max,-0.59760567,-0.01543094,4.80330755e-09,0.08661262,0.00000000,,,path,bands_r0.265_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,5.50000000,TM,7,57,Γ,1.70710678,0.72880112,max,-0.59762082,0.01542895,4.80686199e-09,0.08661261,0.00000000,,,path,bands_r0.265_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,9.00000000,TM,0,19,b1/2,0.50000000,0.17445216,max,-1.63490943,0.07832867,1.62624375e-06,0.00000000,0.02670113,,,path,bands_r0.265_eps9.00.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,9.00000000,TM,0,38,b2/2,1.20710678,0.17445213,max,-1.63490754,-0.07832860,1.62624086e-06,0.00000000,0.02670122,,,path,bands_r0.265_eps9.00.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,9.00000000,TM,1,19,b1/2,0.50000000,0.20115329,min,1.81261899,-0.06356154,1.16508871e-06,0.02670113,0.17321372,,,path,bands_r0.265_eps9.00.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,9.00000000,TM,1,38,b2/2,1.20710678,0.20115334,min,1.81261706,0.06356147,1.16508385e-06,0.02670122,0.17321358,,,path,bands_r0.265_eps9.00.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.26500000,9.00000000,TM,4,0,Γ,0.00000000,0.39795282,min,1.18681458,0.01243425,3.01268115e-09,0.02918800,0.08924036,,,path,bands_r0.265_eps9.00.png
