i,j,Rx,Ry,delta_x,delta_y
0,0,-0.0,0.0,0.0,0.0
0,4,-3.255342024352765,-0.03124999999998771,0.06249712043555773,0.74510793297928
0,8,-6.51068404870553,-0.06249999999997542,0.12499424087111546,0.49021586595856004
0,12,-9.766026073058296,-0.09374999999996314,0.18749136130667324,0.2353237989378396
0,16,-13.02136809741106,-0.12499999999995084,0.24998848174223093,0.9804317319171201
0,20,-16.276710121763823,-0.15624999999993855,0.31248560217778865,0.7255396648963988
0,24,-19.53205214611659,-0.18749999999992628,0.3749827226133465,0.4706475978756792
0,28,-22.787394170469355,-0.21874999999991399,0.43747984304890425,0.21575553085495613
0,32,-26.04273619482212,-0.2499999999999017,0.49997696348446186,0.9608634638342402
0,36,-29.298078219174883,-0.2812499999998894,0.5624740839200196,0.7059713968135206
0,40,-32.55342024352765,-0.3124999999998771,0.6249712043555773,0.4510793297927975
0,44,-35.80876226788041,-0.34374999999986483,0.6874683247911352,0.19618726277207799
0,48,-39.06410429223318,-0.37499999999985256,0.749965445226693,0.9412951957513584
0,52,-42.319446316585946,-0.40624999999984024,0.8124625656622506,0.6864031287306389
0,56,-45.57478834093871,-0.43749999999982797,0.8749596860978085,0.43151106170991227
0,60,-48.830130365291474,-0.46874999999981565,0.937456806533366,0.17661899468919984
4,0,-0.031249999999987704,3.255342024352765,0.74510793297928,0.9375028795644422
4,4,-3.2865920243527524,3.2240920243527773,0.8076050534148376,0.6826108125437225
4,8,-6.541934048705517,3.1928420243527893,0.8701021738503951,0.42771874552300204
4,12,-9.797276073058283,3.1615920243528017,0.9325992942859531,0.17282667850228073
4,16,-13.052618097411047,3.130342024352814,0.9950964147215107,0.9179346114815612
4,20,-16.307960121763813,3.099092024352826,0.05759353515706822,0.6630425444608399
4,24,-19.56330214611658,3.0678420243528386,0.12009065559262622,0.40815047744012034
4,28,-22.818644170469344,3.036592024352851,0.18258777602818377,0.15325841041939725
4,32,-26.07398619482211,3.005342024352863,0.24508489646374176,0.8983663433986777
4,36,-29.329328219174872,2.9740920243528755,0.30758201689929976,0.6434742763779582
4,40,-32.58467024352763,2.942842024352888,0.37007913733485687,0.38858220935724574
