lattice_type,a1x,a1y,a2x,a2y,hole_radius_a,eps_bg,polarization,band_index,k_index,k_label,s_value,frequency,extremum_type,curvature_a,linear_b,quad_residual,gap_below,gap_above,kx_frac,ky_frac,mode,plot_file
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,12.50000000,TM,6,19,X,0.50000000,0.45423342,max,-0.79992802,0.06364176,2.91156433e-07,0.05739626,0.08671994,,,path,bands_r0.265_eps12.50.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,16.00000000,TM,1,19,X,0.50000000,0.14983435,min,1.14796206,-0.06664417,3.24277006e-07,0.02095196,0.13468676,,,path,bands_r0.265_eps16.00.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,16.00000000,TM,3,38,M,1.00000000,0.25105673,min,0.67745286,-0.00007279,2.65676568e-09,0.06476097,0.14514517,,,path,bands_r0.265_eps16.00.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,16.00000000,TM,4,0,Γ,0.00000000,0.30172092,min,0.81990846,0.00404640,3.57500931e-10,0.03379590,0.07038689,,,path,bands_r0.265_eps16.00.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,16.00000000,TM,4,19,X,0.50000000,0.32161401,max,-0.35881522,-0.05530067,3.77378517e-07,0.03323593,0.03025000,,,path,bands_r0.265_eps16.00.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,16.00000000,TM,4,57,Γ,1.70710678,0.30172092,min,0.58559593,-0.01609380,8.64748800e-09,0.03379590,0.07038689,,,path,bands_r0.265_eps16.00.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,16.00000000,TM,5,0,Γ,0.00000000,0.37210781,max,-0.79293297,-0.01539125,3.85439535e-09,0.07038689,0.02325396,,,path,bands_r0.265_eps16.00.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,16.00000000,TM,5,19,X,0.50000000,0.35186401,min,0.50309270,0.03692185,1.64513094e-07,0.03025000,0.04986974,,,path,bands_r0.265_eps16.00.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,16.00000000,TM,5,57,Γ,1.70710678,0.37210781,max,-0.71728240,0.02405974,1.62997813e-08,0.07038689,0.02325395,,,path,bands_r0.265_eps16.00.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,16.00000000,TM,6,19,X,0.50000000,0.40173375,max,-0.67637968,0.05367083,2.11819835e-07,0.04986974,0.07670278,,,path,bands_r0.265_eps16.00.png
