candidate_id,lattice_type,a,r_over_a,eps_bg,band_index,k_label,k0_x,k0_y,omega0,curvature_xx,curvature_xy,curvature_yy,curvature_trace,curvature_det,vg_x,vg_y,vg_norm,k_parab,gap_above,gap_below,gap_min,S_flat,S_gap,S_parab,S_vg,S_total,valid_ea_flag,candidate_source,optimization_k_label,optimization_strategy,optimization_lattice
653,square,1.0,0.3,6.0,5,X,0.5,0.0,0.6541939857578565,2.6883715300467537,0.0,2.6883715300467537,5.376743060093507,7.227341483565923,0.02281506946669509,0.022815069466695124,0.03226538066628452,0.08625223431708455,0.04044758359297829,0.09875006080079385,0.04044758359297829,1.0,0.28799059804543675,1.0,0.19771184542379486,2.1354181289324625,False,grid,,,
1362,hex,1.0,0.25,4.0,2,K,0.3333333333333333,0.3333333333333333,0.555840192874134,1.8289204790731437,0.0,1.8289204790731437,3.6578409581462874,3.3449501187731374,-0.20968372661980242,0.0,0.20968372661980242,0.10457252302577169,0.047108878830508516,0.10978017610750618,0.047108878830508516,1.0,0.32023137695709725,1.0,0.2300458512751837,2.1352782885228705,False,grid,,,
1941,hex,1.0,0.35,6.0,5,K,0.3333333333333333,0.3333333333333333,0.8142395104520406,13.655078780283844,0.0,13.655078780283844,27.31015756056769,186.4611764957581,0.18985313446012048,-0.0,0.18985313446012048,0.03827083103089457,0.023179814328883608,0.09454930948383478,0.023179814328883608,1.0,0.18817867566348756,1.0,0.0985673606469021,2.1344169725248783,False,grid,,,
804,square,1.0,0.35,3.0,4,Γ,0.0,0.0,0.72438831984626,11.8098035500664,0.0,11.8098035500664,23.6196071001328,139.47145989116095,-1.5894007519284034e-16,0.11452839414603415,0.11452839414603415,0.04115225718923121,0.2548284570238931,0.024175779645990048,0.024175779645990048,1.0,0.1946899767000637,1.0,0.10520777122685149,2.134223308209818,False,grid,,,
828,square,1.0,0.35,3.0,4,Γ,0.0,0.0,0.72438831984626,11.8098035500664,0.0,11.8098035500664,23.6196071001328,139.47145989116095,-1.5894007519284034e-16,0.11452839414603415,0.11452839414603415,0.04115225718923121,0.2548284570238931,0.024175779645990048,0.024175779645990048,1.0,0.1946899767000637,1.0,0.10520777122685149,2.134223308209818,False,grid,,,
1775,hex,1.0,0.3,9.0,7,M,0.5,0.0,0.6989108315205178,2.5999157625768192,0.0,2.5999157625768192,5.1998315251536384,6.759561972495403,-0.00813810603462084,-0.00813810603462087,0.011509019926191142,0.08770722275575736,0.06867694441681538,0.04078810569018998,0.04078810569018998,1.0,0.2897127245958255,1.0,0.20037874221851348,2.1340009735659677,False,grid,,,
2030,hex,1.0,0.35,9.0,6,M,0.5,0.0,0.7274394950521754,1.9638780235696103,0.0,1.9638780235696103,3.9277560471392206,3.8568168914596788,0.013100876264570127,0.013100876264570176,0.01852743689232688,0.10091546895076384,0.045584388069518034,0.07804387347718944,0.045584388069518034,1.0,0.31311316188485144,1.0,0.22380130179517738,2.133967790134511,False,grid,,,
1806,hex,1.0,0.35,2.0,6,M,0.5,0.0,1.2426302394362876,25.2752526401348,0.0,25.2752526401348,50.5505052802696,638.8383960226411,0.22585086100253002,0.22585086100253085,0.3194013507034193,0.028129838914337072,0.019462440746228715,0.019680932788759042,0.019462440746228715,1.0,0.16291681824559676,1.0,0.07439201041394068,2.132787211747484,False,grid,,,
852,square,1.0,0.35,4.0,4,M,0.5,0.5,0.8595000271898253,5.650656236973872,0.0,5.650656236973872,11.301312473947744,31.929915908451722,0.06251245232659736,1.3880552779754152e-16,0.06251245232659736,0.05949295683314058,0.030490925620033527,0.3574543447138425,0.030490925620033527,1.0,0.2336631874987055,1.0,0.14528444467820886,2.132568114230745,False,grid,,,
1450,hex,1.0,0.25,7.0,2,M,0.5,0.0,0.4180705244279814,1.383139614249908,0.0,1.383139614249908,2.766279228499816,1.9130751925073841,-0.02799495573525601,-0.02799495573525611,0.039590846078833584,0.12024914242140856,0.05235629496313926,0.12194416460727808,0.05235629496313926,1.0,0.34364379217679336,1.0,0.25571368785963383,2.131895156475739,False,grid,,,
1162,hex,1.0,0.2,6.0,2,M,0.5,0.0,0.4273094871396009,2.0951377462773473,0.0,2.0951377462773473,4.190275492554695,4.389602175876122,-0.0367251668117069,-0.03672516681170703,0.05193722898553027,0.09770318180926205,0.043915678074468,0.14260745602312402,0.043915678074468,1.0,0.30514867220890407,1.0,0.21823204698796886,2.1303749378314025,False,grid,,,
1547,hex,1.0,0.3,2.0,3,M,0.5,0.0,0.7979880925827014,15.295785897963855,0.0,15.295785897963855,30.59157179592771,233.96106623634992,0.17015909190831846,0.17015909190831907,0.24064129553783437,0.0361600564554523,0.36896547000280333,0.022022360141297104,0.022022360141297104,1.0,0.1804780707060253,1.0,0.0936400745001024,2.1302569943088843,False,grid,,,
596,square,1.0,0.3,4.0,4,M,0.5,0.5,0.8173467423371664,6.9447616122693,0.0,6.9447616122693,13.8895232245386,48.22971385124929,0.07614464559613669,1.6907507748550683e-16,0.07614464559613669,0.053664405989137055,0.02802947858306426,0.35337040276484916,0.02802947858306426,1.0,0.21892988156535378,1.0,0.13294312105036382,2.128980140772485,False,grid,,,
1870,hex,1.0,0.35,4.0,6,M,0.5,0.0,0.993624853450547,14.368349310574814,0.0,14.368349310574814,28.73669862114963,206.44946191069573,0.09266615487772634,0.09266615487772667,0.13104973300104655,0.037308823915943146,0.022246396565634985,0.06438901360723304,0.022246396565634985,1.0,0.1819799780657807,1.0,0.09632836024422776,2.1284774267323296,False,grid,,,
1036,hex,1.0,0.2,2.0,4,M,0.5,0.0,1.1117372059129311,38.320139490084046,0.0,38.320139490084046,76.64027898016809,1468.4330905394988,0.04121212110085315,0.041212121100853295,0.05828274059498904,0.022845541538824815,0.017220581699197712,0.3546710413069504,0.017220581699197712,1.0,0.14690749226435185,1.0,0.061273473848006,2.1284510276245188,False,grid,,,
