lattice,r,eps_bg,k_label,band_index,pol,J,f0,min_gap_center,min_gap_neigh,R2_min,grad_max_abs,H11,H12,H22,lam_min,lam_max,extremum_type
square,0.48,5.669386807198149,M,0,TM,0.36306267449814533,0.34446285582215563,0.1259152019216941,0.11929297159824431,0.9892274693757315,5.656738688575302e-09,-0.9946089219238748,0.19244042138979378,-0.6857962085651199,-1.0869304290290334,-0.5934747014599614,max
square,0.48,5.714285714285714,M,0,TM,0.36300818558372844,0.34319191274784594,0.12582913697495784,0.11932032705873441,0.9893011392549315,5.3013010092861634e-09,-0.9893410938406733,0.19109783629394328,-0.6820797094503971,-1.0809057780713234,-0.5905150252197469,max
square,0.48,4.642857142857142,M,0,TM,0.3597922718849595,0.377992670081101,0.12672178366799774,0.11693775865998185,0.9869934933254527,8.007238039287046e-09,-1.13978708097021,0.23117753693873522,-0.7893984963075187,-1.254655012395322,-0.6745305648824067,max
square,0.48,6.785714285714286,M,0,TM,0.35886057615763356,0.31649080330888896,0.12310875766108637,0.11883266753656985,0.9906879494325251,5.460052132644222e-09,-0.8825375225132122,0.1648005320496322,-0.6072660809026393,-0.9596174439080984,-0.530186159507753,max
square,0.48,7.857142857142857,M,0,TM,0.351500677265951,0.29517429362082154,0.11972440070603318,0.11699376749831558,0.9915990370691827,5.5933739862013e-09,-0.8024077307591971,0.14619551981338907,-0.5517046239947355,-0.8696338031512116,-0.48447855160272096,max
square,0.48,8.928571428571429,M,0,TM,0.34285201669120646,0.27764916177917665,0.11617541253442915,0.11454007650248615,0.9922373739491087,5.38826605556153e-09,-0.7397688889878948,0.13229644009449815,-0.5085292036057896,-0.7998484944621136,-0.4484495981315708,max
square,0.48,3.571428571428571,M,0,TM,0.33972637714166887,0.42599113331208244,0.12288759734359517,0.10841121025512862,0.9826235740661544,4.8691179421744835e-09,-1.368532813910144,0.2992765886307912,-0.9583845532027535,-1.5262559760529726,-0.800661391059925,max
square,0.48,10.0,M,0,TM,0.33384033060372176,0.2629116562170189,0.11268215054260955,0.11184164797178642,0.9927067343657303,5.092622379354594e-09,-0.6892389805337092,0.1214811665603372,-0.47382492916671687,-0.7438848951082992,-0.4191790145921269,max
square,0.48,2.5,M,0,TM,0.2795123712594364,0.4981980954275356,0.1062773800136319,0.08640304093628931,0.9725086904086265,3.14422765601563e-09,-1.754712758205837,0.43524391973583776,-1.2659695865581604,-2.0094951983349842,-1.011187146429013,max
square,0.42,3.571428571428571,M,0,TM,0.20521988799610716,0.39825550188497844,0.06911502301061856,0.07276726932512856,0.9701375742616014,6.837959642957969e-10,-1.3746896370748936,0.3778591436944355,-1.0656468114133772,-1.6284014902780364,-0.8119349582102346,max
