job_index,eps_bg,resolution,polarization,atom0_pos_x,atom0_pos_y,atom0_radius,atom0_eps_inside,k_index,kx,ky,k_distance,band1,band2,band3
0,8.000000,48,TM,0.500000,0.500000,0.300000,1.000000,0,0,0,0,0,0.42769009468929514,0.4126691115819584
0,8.000000,48,TM,0.500000,0.500000,0.300000,1.000000,1,0.5,-0.5,0.7071067811865476,0.21849470971038304,0.253293486904468,0.39828779904969686
